01: Poškodovan hangar in Airbus, Brnik (hrani Večer)
02: Napad na Brnik, avstrijska novinarja (hrani Večer)
03: Napad na Brnik (hrani Večer)
04: Barikade Brnik 27.6.91 (avtor Marjan Garbajs, hrani PVZ)
05: Smerokaz Brnik  27.6.91 (avtor Marjan Garbajs, hrani PVZ)
06: Barikada Brnik 27.6.91 (avtor Marjan Garbajs, hrani PVZ)
07: Tank na Brniku 27.6.91 (avtor Marjan Garbajs, hrani PVZ)
08: Tankovska kolona na Brniku 4.7.91 (avtor Marjan Garbajs, hrani PVZ)
09: Konec spopada Brnik 4.7.91 (avtor Marjan Garbajs, hrani PVZ)
10: Poškodovana vozila na Brniku 6.7.91 (avtor Marjan Garbajs, hrani PVZ)
11: Poškodovan hangar 6.7.91 (avtor Marjan Garbajs, hrani PVZ)
