group,iso,text,headline,day,month,year
Priznanje,HR,Priznanje Republike Slovenije,Hrvaška,26,6,1991
Priznanje,LT,Priznanje Republike Slovenije,Litva,30,7,1991
Priznanje,GE,Priznanje Republike Slovenije,Gruzija,14,8,1991
Priznanje,LV,Priznanje Republike Slovenije,Latvija,29,8,1991
Priznanje,EE,Priznanje Republike Slovenije,Estonija,25,9,1991
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Litva,22,11,1991
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Latvija,3,12,1991
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Estonija,11,12,1991
Priznanje,UA,Priznanje Republike Slovenije,Ukrajina,12,12,1991
Priznanje,IS,Priznanje Republike Slovenije,Islandija,19,12,1991
Priznanje,SE,Priznanje Republike Slovenije,Švedska,19,12,1991
Priznanje,DE,Priznanje Republike Slovenije,Nemčija,19,12,1991
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Islandija,20,12,1991
Priznanje,BY,Priznanje Republike Slovenije,Belorusija,27,12,1991
Priznanje,VA,Priznanje Republike Slovenije,Vatikan,13,1,1991
Priznanje,SM,Priznanje Republike Slovenije,San Marino,14,1,1992
Priznanje,DK,Priznanje Republike Slovenije,Danska,15,1,1992
Priznanje,AT,Priznanje Republike Slovenije,Avstrija,15,1,1992
Priznanje,CH,Priznanje Republike Slovenije,Švica,15,1,1992
Priznanje,MT,Priznanje Republike Slovenije,Malta,15,1,1992
Priznanje,PT,Priznanje Republike Slovenije,Portugalska,15,1,1992
Priznanje,GB,Priznanje Republike Slovenije,Velika Britanija,,15,1,1992
Priznanje,FR,Priznanje Republike Slovenije,Francija,15,1,1992
Priznanje,BE,Priznanje Republike Slovenije,Belgija,15,1,1992
Priznanje,HU,Priznanje Republike Slovenije,Madžarska,15,1,1992
Priznanje,PL,Priznanje Republike Slovenije,Poljska,15,1,1992
Priznanje,NO,Priznanje Republike Slovenije,Norveška,15,1,1992
Priznanje,BG,Priznanje Republike Slovenije,Bolgarija,15,1,1992
Priznanje,IT,Priznanje Republike Slovenije,Italija,15,1,1992
Priznanje,CA,Priznanje Republike Slovenije,Kanada,15,1,1992
Priznanje,ES,Priznanje Republike Slovenije,Španija,15,1,1992
Priznanje,LU,Priznanje Republike Slovenije,Luksemburg,15,1,1992
Priznanje,IE,Priznanje Republike Slovenije,Irska,15,1,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Nemčija,15,1,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Avstrija,15,1,1992
Priznanje,AU,Priznanje Republike Slovenije,Avstralija,16,1,1992
Priznanje,NZ,Priznanje Republike Slovenije,Nova Zelandija,16,1,1992
Priznanje,CZ,Priznanje Republike Slovenije,Češkoslovaška federativna republika,16,1,1992
Priznanje,AR,Priznanje Republike Slovenije,Argentina,16,1,1992
Priznanje,CL,Priznanje Republike Slovenije,Čile,16,1,1992
Priznanje,UY,Priznanje Republike Slovenije,Urugvaj,16,1,1992
Priznanje,LI,Priznanje Republike Slovenije,Liechtenstein,16,1,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Madžarska,16,1,1992
Priznanje,FI,Priznanje Republike Slovenije,Finska,17,1,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Italija,17,1,1992
Priznanje,RO,Priznanje Republike Slovenije,Romunija,18,1,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Danska,20,1,1992
Priznanje,AL,Priznanje Republike Slovenije,Albanija,21,1,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Velika Britanija,,23,1,1992
Priznanje,NL,Priznanje Republike Slovenije,Nizozemska,24,1,1992
Priznanje,BR,Priznanje Republike Slovenije,Brazilija,24,1,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Nizozemska,24,1,1992
Priznanje,PY,Priznanje Republike Slovenije,Paragvaj,27,1,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,San Marino,28,1,1992
Priznanje,BO,Priznanje Republike Slovenije,Bolivija,29,1,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Švedska,29,1,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Švica,31,1,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Liechtenstein,31,1,1992
Sporazum,SI,Sporazum o navezavi diplomatskih odnosov,Portugalska,3,2,1992
Priznanje,TR,Priznanje Republike Slovenije,Turčija,6,2,1992
